,LGA_CODE,LGA_NAME,sum_ptv_trips
0,300,ALPINE,424
1,301,ARARAT,2705
2,302,BALLARAT,60674
3,303,BANYULE,347489
4,304,BASS COAST,5426
5,305,BAW BAW,10614
6,306,BAYSIDE,251806
7,307,BOROONDARA,829597
8,308,BRIMBANK,425629
9,309,BULOKE,428
10,310,CAMPASPE,2889
11,311,CARDINIA,39233
12,312,CASEY,139385
13,313,CENTRAL GOLDFIELDS,3369
14,314,COLAC-OTWAY,1992
15,315,CORANGAMITE,852
16,316,DAREBIN,561988
17,319,EAST GIPPSLAND,4571
18,320,FRANKSTON,110493
19,321,GANNAWARRA,572
20,322,GLEN EIRA,481253
21,323,GLENELG,1586
22,324,GOLDEN PLAINS,820
23,325,GREATER BENDIGO,60787
24,326,GREATER DANDENONG,207848
25,327,GREATER GEELONG,178926
26,328,GREATER SHEPPARTON,8535
27,329,HEPBURN,3616
28,330,HINDMARSH,277
29,331,HOBSONS BAY,233860
30,332,HORSHAM,2335
31,333,HUME,351904
32,334,INDIGO,574
33,335,KINGSTON,240391
34,336,KNOX,272127
35,337,LATROBE,33425
36,338,LODDON,676
37,339,MACEDON RANGES,8309
38,340,MANNINGHAM,920231
39,341,MARIBYRNONG,491411
40,342,MAROONDAH,278961
41,343,MELBOURNE,1705917
42,344,MELTON,157439
43,345,MILDURA,9089
44,346,MITCHELL,11634
45,347,MOIRA,2015
46,348,MONASH,351240
47,349,MOONEE VALLEY,450863
48,350,MOORABOOL,10410
49,351,MERRI-BEK,508801
50,352,MORNINGTON PENINSULA,56971
51,353,MOUNT ALEXANDER,1992
52,354,MOYNE,1297
53,355,MURRINDINDI,1172
54,356,NILLUMBIK,106442
55,357,NORTHERN GRAMPIANS,2306
56,358,PORT PHILLIP,689184
57,359,PYRENEES,486
58,360,QUEENSCLIFFE,1872
59,361,SOUTH GIPPSLAND,2039
60,362,SOUTHERN GRAMPIANS,1517
61,363,STONNINGTON,551947
62,364,STRATHBOGIE,718
63,365,SURF COAST,11896
64,366,SWAN HILL,2052
65,367,TOWONG,14
66,368,WANGARATTA,3642
67,369,WARRNAMBOOL,12032
68,370,WELLINGTON,3282
69,371,WEST WIMMERA,86
70,372,WHITEHORSE,715253
71,373,WHITTLESEA,325234
72,374,WODONGA,4259
73,375,WYNDHAM,353248
74,376,YARRA,642438
75,377,YARRA RANGES,133417
76,378,YARRIAMBIACK,743
77,381,BENALLA,1394
78,382,MANSFIELD,401
79,384,MOUNT BULLER ALPINE RESORT (UNINC),44
80,388,MOUNT HOTHAM ALPINE RESORT (UNINC),48
